Month,Core Cleans,Project Cleans,Grant Cleans,Total Cleans,Revenue,COGS,Gross Margin,GM%,Bags Diverted,Scored Cleans,Score Coverage %
2021-09,34,0,0,34,1700.00,850.00,850.00,50.0%,0.00,0,0.0%
2021-10,107,0,0,107,5275.00,2675.00,2600.00,49.3%,0.00,0,0.0%
2021-11,94,0,0,94,4640.00,2350.00,2290.00,49.4%,0.00,0,0.0%
2021-12,110,0,0,110,5425.00,2750.00,2675.00,49.3%,0.00,0,0.0%
2022-01,114,0,0,114,5590.00,2850.00,2740.00,49.0%,0.00,0,0.0%
2022-02,106,0,0,106,5302.50,2700.00,2602.50,49.1%,0.00,0,0.0%
2022-03,162,0,0,162,8237.50,4175.00,4062.50,49.3%,0.00,0,0.0%
2022-04,153,0,0,153,7815.00,3962.50,3852.50,49.3%,0.00,0,0.0%
2022-05,220,0,0,220,12317.50,5675.00,6642.50,53.9%,0.00,0,0.0%
2022-06,292,0,0,292,15737.50,7525.00,8212.50,52.2%,0.00,0,0.0%
2022-07,264,0,0,264,13927.50,6775.00,7152.50,51.4%,0.00,0,0.0%
2022-08,336,0,0,336,18000.00,8600.00,9400.00,52.2%,0.00,0,0.0%
2022-09,305,0,0,305,16262.50,7825.00,8437.50,51.9%,0.00,0,0.0%
2022-10,434,0,0,434,22777.50,11025.00,11752.50,51.6%,0.00,0,0.0%
2022-11,298,0,0,298,15730.00,7637.50,8092.50,51.4%,0.00,0,0.0%
2022-12,328,0,0,328,17600.00,8512.50,9087.50,51.6%,0.00,0,0.0%
2023-01,356,0,0,356,19177.50,9200.00,9977.50,52.0%,0.00,0,0.0%
2023-02,359,0,0,359,19165.00,9287.50,9877.50,51.5%,0.00,0,0.0%
2023-03,468,0,0,468,24733.75,12125.00,12608.75,51.0%,0.00,0,0.0%
2023-04,431,8,0,439,23186.25,11325.00,11861.25,51.2%,0.00,0,0.0%
2023-05,512,37,0,549,28907.50,14175.00,14732.50,51.0%,0.00,0,0.0%
2023-06,531,35,6,572,30288.75,14737.50,15551.25,51.3%,0.00,0,0.0%
2023-07,502,41,9,552,29107.50,14175.00,14932.50,51.3%,0.00,0,0.0%
2023-08,562,51,9,622,32838.75,16087.50,16751.25,51.0%,0.00,0,0.0%
2023-09,542,44,8,594,31692.50,15375.00,16317.50,51.5%,0.00,0,0.0%
2023-10,527,52,7,586,31370.00,15250.00,16120.00,51.4%,0.00,0,0.0%
2023-11,549,47,4,600,31913.75,15587.50,16326.25,51.2%,0.00,0,0.0%
2023-12,547,44,13,604,32192.50,15625.00,16567.50,51.5%,0.00,0,0.0%
2024-01,571,58,9,638,33932.50,16537.50,17395.00,51.3%,0.00,0,0.0%
2024-02,572,96,0,668,35195.00,17250.00,17945.00,51.0%,0.00,0,0.0%
2024-03,593,92,0,685,36188.75,17662.50,18526.25,51.2%,0.00,0,0.0%
2024-04,610,101,0,711,37282.50,18300.00,18982.50,50.9%,0.00,0,0.0%
2024-05,594,105,0,699,36682.50,18000.00,18682.50,50.9%,0.00,0,0.0%
2024-06,549,92,0,641,33998.75,16550.00,17448.75,51.3%,0.00,0,0.0%
2024-07,711,118,0,829,43270.00,21312.50,21957.50,50.7%,0.00,0,0.0%
2024-08,741,123,0,864,45276.25,22225.00,23051.25,50.9%,0.00,0,0.0%
2024-09,697,111,0,808,41882.50,20812.50,21070.00,50.3%,0.00,0,0.0%
2024-10,743,111,0,854,43970.00,21937.50,22032.50,50.1%,0.00,0,0.0%
2024-11,724,106,0,830,43457.50,21487.50,21970.00,50.6%,0.00,0,0.0%
2024-12,799,120,0,919,48198.75,23812.50,24386.25,50.6%,0.00,0,0.0%
2025-01,821,121,0,942,49370.00,24375.00,24995.00,50.6%,0.00,0,0.0%
2025-02,727,100,0,827,43495.00,21437.50,22057.50,50.7%,0.00,0,0.0%
2025-03,744,124,0,868,46013.75,22650.00,23363.75,50.8%,0.00,0,0.0%
2025-04,729,127,1,857,45370.00,22350.00,23020.00,50.7%,0.00,0,0.0%
2025-05,737,140,1,878,46507.50,22887.50,23620.00,50.8%,0.00,0,0.0%
2025-06,731,184,1,916,48496.25,23800.00,24696.25,50.9%,220.75,249,27.2%
2025-07,793,159,601,1553,81632.50,40325.00,41307.50,50.6%,1684.00,1550,99.8%
2025-08,799,130,1069,1998,104763.75,51462.50,53301.25,50.9%,2753.75,1994,99.8%
2025-09,797,153,1329,2279,119320.00,58450.00,60870.00,51.0%,3124.75,2275,99.8%
2025-10,778,111,1528,2417,127772.50,61812.50,65960.00,51.6%,3422.00,2411,99.8%
2025-11,744,140,1382,2266,120020.00,57937.50,62082.50,51.7%,3447.25,2266,100.0%
2025-12,839,140,1524,2503,132745.00,64337.50,68407.50,51.5%,3410.25,2501,99.9%
2026-01,799,142,1486,2427,128901.25,62175.00,66726.25,51.8%,2827.75,2426,100.0%
2026-02,745,127,1333,2205,116138.75,56255.00,59883.75,51.6%,2294.50,2205,100.0%
2026-03,920,123,1462,2505,131163.75,63875.00,67288.75,51.3%,2954.25,2502,99.9%
2026-04,909,134,711,1754,92507.50,45420.00,47087.50,50.9%,2048.25,1743,99.4%
2026-05,873,117,276,1266,67111.25,33320.00,33791.25,50.4%,1476.50,1260,99.5%
2026-06,835,133,280,1248,65995.00,32775.00,33220.00,50.3%,1477.00,1245,99.8%
2026-07,639,110,197,946,49791.25,24790.00,25001.25,50.2%,1110.00,944,99.8%
